MagType,index,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
alleq,Count,8,58,81,72,28,45,51,37,40,78,60,71,64,134,122,102,96,79,94,118,120,149,259,292,285,292,264,277,201,246,225,231,253,218,299,209,195,179,145,155,115,112,131,134,172,137,216,246,308,238,216,208,213,324,339,329,271,240,208,314,468,533,448,475,546,513,571,590,617,1381,1368,1481,1718,1721,1586,1422,1334,1219,1448,1720,1626,1748,1697,1517,1524,1503,1708,1543,1597,1518,1629,1454,1314,1204,1038,1154,1448,1292,1257,1320,1609,1771,1789,2205,1902,1980,2270,2581,1590,1519,1626,1468,1607,1456,1741,1568,1355,2127,1641,2773
alleq,Total Count,8,66,147,219,247,292,343,380,420,498,558,629,693,827,949,1051,1147,1226,1320,1438,1558,1707,1966,2258,2543,2835,3099,3376,3577,3823,4048,4279,4532,4750,5049,5258,5453,5632,5777,5932,6047,6159,6290,6424,6596,6733,6949,7195,7503,7741,7957,8165,8378,8702,9041,9370,9641,9881,10089,10403,10871,11404,11852,12327,12873,13386,13957,14547,15164,16545,17913,19394,21112,22833,24419,25841,27175,28394,29842,31562,33188,34936,36633,38150,39674,41177,42885,44428,46025,47543,49172,50626,51940,53144,54182,55336,56784,58076,59333,60653,62262,64033,65822,68027,69929,71909,74179,76760,78350,79869,81495,82963,84570,86026,87767,89335,90690,92817,94458,97231
mw,Count,8,58,81,71,28,45,50,37,40,78,60,71,64,134,122,102,96,79,94,118,120,149,259,292,285,292,263,276,200,246,225,231,253,218,298,208,194,178,145,155,115,112,131,134,172,137,216,246,308,237,216,208,212,321,338,329,268,240,207,313,462,511,443,473,542,513,569,588,616,5,3,4,7,7,1,1,4,4,39,133,668,660,676,757,765,761,784,573,739,618,671,849,116,6,9,13,21,13,16,8,19,7,8,9,12,20,16,10,16,10,20,7,9,7,69,8,9,4,2,17
mw,Total Count,8,66,147,218,246,291,341,378,418,496,556,627,691,825,947,1049,1145,1224,1318,1436,1556,1705,1964,2256,2541,2833,3096,3372,3572,3818,4043,4274,4527,4745,5043,5251,5445,5623,5768,5923,6038,6150,6281,6415,6587,6724,6940,7186,7494,7731,7947,8155,8367,8688,9026,9355,9623,9863,10070,10383,10845,11356,11799,12272,12814,13327,13896,14484,15100,15105,15108,15112,15119,15126,15127,15128,15132,15136,15175,15308,15976,16636,17312,18069,18834,19595,20379,20952,21691,22309,22980,23829,23945,23951,23960,23973,23994,24007,24023,24031,24050,24057,24065,24074,24086,24106,24122,24132,24148,24158,24178,24185,24194,24201,24270,24278,24287,24291,24293,24310
mb,Count,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,21,5,2,4,0,2,1,0,1200,1143,1294,1485,1493,1356,1240,1106,987,1200,1433,898,1020,957,707,714,694,857,871,728,758,827,458,419,365,181,234,394,361,262,273,277,224,387,543,366,462,657,786,1028,932,932,857,952,730,770,573,355,989,537,1034
mb,Total Count,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,13,34,39,41,45,0,47,48,0,1248,2391,3685,5170,6663,8019,9259,10365,11352,12552,13985,14883,15903,16860,17567,18281,18975,19832,20703,21431,22189,23016,23474,23893,24258,24439,24673,25067,25428,25690,25963,26240,26464,26851,27394,27760,28222,28879,29665,30693,31625,32557,33414,34366,35096,35866,36439,36794,37783,38320,39354
ms,Count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,2,0,1,0,0,1,0,0,0,0,0,1,1,176,222,183,226,220,229,181,224,228,209,154,60,68,63,52,44,47,62,70,72,70,51,70,31,24,13,9,25,14,10,5,4,3,6,5,2,0,2,4,0,3,0,0,0,0,0,0,0,0,0,0
ms,Total Count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,9,10,0,12,0,13,0,0,14,0,0,0,0,0,15,16,192,414,597,823,1043,1272,1453,1677,1905,2114,2268,2328,2396,2459,2511,2555,2602,2664,2734,2806,2876,2927,2997,3028,3052,3065,3074,3099,3113,3123,3128,3132,3135,3141,3146,3148,0,3150,3154,0,3157,0,0,0,0,0,0,0,0,0,0
mwc,Count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,5,1,1,0,3,0,679,763,783,844,957,869,890,832,1035,1245,1166,1460,1428,1400,1437,1311,124,70,68,45,33,0,1,1,0,1,0,1
mwc,Total Count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,4,5,10,11,12,0,15,0,694,1457,2240,3084,4041,4910,5800,6632,7667,8912,10078,11538,12966,14366,15803,17114,17238,17308,17376,17421,17454,0,17455,17456,0,17457,0,17458
mwb,Count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,57,72,77,77,68,46,52,54,51,34,79,201,274,291,222,187,93,96,155,129,136,201,156,102,74,16,4,0,1,10,6,8
mwb,Total Count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,85,157,234,311,379,425,477,531,582,616,695,896,1170,1461,1683,1870,1963,2059,2214,2343,2479,2680,2836,2938,3012,3028,3032,0,3033,3043,3049,3057
mww,Count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,2,3,341,286,303,450,457,539,703,897,986,990,1123,1096,1713
mww,Total Count,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,4,0,5,6,8,11,352,638,941,1391,1848,2387,3090,3987,4973,5963,7086,8182,9895
